"[[229 249 242 ... 230 238 245]
 [230 232 228 ... 220 243 226]
 [230 233 230 ... 228 228 227]
 ...
 [241 248 241 ... 236 237 230]
 [244 247 240 ... 229 235 229]
 [249 238 238 ... 231 244 229]]",102_5.tif
"[[230 249 248 ... 233 242 245]
 [230 232 229 ... 220 234 225]
 [230 233 230 ... 228 228 228]
 ...
 [241 248 241 ... 236 237 231]
 [244 248 240 ... 229 235 232]
 [249 238 238 ... 231 244 229]]",108_6.tif
"[[229 249 242 ... 230 238 245]
 [230 232 231 ... 220 234 223]
 [230 233 231 ... 228 227 227]
 ...
 [241 248 241 ... 229 237 230]
 [244 247 240 ... 229 235 229]
 [249 238 238 ... 231 244 229]]",101_2.tif
"[[250 250 250 ... 250 250 250]
 [250 250 250 ... 250 250 250]
 [250 250 250 ... 250 250 250]
 ...
 [250 250 250 ... 250 250 250]
 [250 250 250 ... 250 250 250]
 [250 250 250 ... 250 250 250]]",107_1.tif
"[[229 249 242 ... 230 238 245]
 [230 232 228 ... 220 234 223]
 [230 233 230 ... 228 227 227]
 ...
 [241 248 241 ... 229 237 230]
 [244 247 240 ... 229 235 229]
 [249 238 238 ... 231 244 229]]",105_3.tif
"[[229 249 249 ... 230 238 245]
 [230 232 228 ... 228 234 223]
 [230 233 230 ... 237 230 227]
 ...
 [241 248 241 ... 229 237 230]
 [244 247 240 ... 229 235 229]
 [249 238 238 ... 231 246 229]]",104_1.tif
"[[229 249 242 ... 230 238 245]
 [230 232 228 ... 225 234 223]
 [230 233 230 ... 228 227 227]
 ...
 [241 248 241 ... 230 237 230]
 [244 247 240 ... 229 235 229]
 [249 238 238 ... 231 244 230]]",104_4.tif
"[[229 250 244 ... 243 233 234]
 [244 238 234 ... 232 240 236]
 [241 234 247 ... 241 241 243]
 ...
 [241 250 243 ... 230 240 245]
 [246 248 249 ... 229 233 241]
 [248 246 248 ... 236 232 235]]",106_5.tif
"[[250 250 250 ... 250 250 250]
 [250 250 250 ... 250 250 250]
 [250 250 250 ... 250 250 250]
 ...
 [250 250 250 ... 250 250 250]
 [250 250 250 ... 250 250 250]
 [250 250 250 ... 250 250 250]]",101_4.tif
"[[229 249 242 ... 230 238 245]
 [230 232 228 ... 220 234 223]
 [230 233 230 ... 228 227 227]
 ...
 [241 248 241 ... 229 237 230]
 [244 247 240 ... 229 235 229]
 [249 238 238 ... 231 244 229]]",110_4.tif
"[[236 250 250 ... 232 245 250]
 [241 234 242 ... 223 241 238]
 [245 239 236 ... 232 234 234]
 ...
 [242 250 248 ... 240 242 239]
 [245 250 240 ... 234 240 230]
 [250 241 238 ... 234 250 233]]",107_6.tif
"[[243 250 250 ... 246 248 250]
 [248 247 250 ... 249 250 244]
 [245 244 250 ... 250 241 248]
 ...
 [249 250 245 ... 239 250 247]
 [247 250 249 ... 243 244 240]
 [250 239 244 ... 244 250 241]]",102_3.tif
"[[239 250 248 ... 250 247 250]
 [245 240 243 ... 238 240 235]
 [244 247 245 ... 239 237 242]
 ...
 [243 250 244 ... 242 242 234]
 [249 250 246 ... 247 249 241]
 [250 249 239 ... 250 250 244]]",107_2.tif
